id,image_id,category_id,bbox,area,iscrowd,flag,MarineTraffic,MMSI,vessel_type,vessel_length,vessel_width,vessel_status,longitude,latitude
26281373,1,0,"[705, 1350, 8, 10]",80,0,0,1,0,General Cargo,83.0,11.0,1,34.62362,31.8446
26283383,1,0,"[519, 1498, 16, 16]",256,0,0,1,636018498,Container Ship,150.0,23.0,1,34.60742,31.83713
26284588,1,0,"[548, 1614, 11, 11]",121,0,0,1,271002656,General Cargo,93.62,14.0,1,34.60675,31.829
26285916,1,0,"[398, 1623, 20, 20]",400,0,0,1,636092553,Bulk Carrier,177.4,28.2,1,34.5969,31.83003
26286489,1,0,"[131, 1615, 14, 13]",182,0,0,2,246246000,General Cargo,119.98,15.2,1,34.57878,31.83391
26287577,1,0,"[142, 1730, 13, 15]",195,0,0,1,271000021,General Cargo,116.0,17.2,1,34.57681,31.82588
26288404,1,0,"[688, 1682, 10, 11]",110,0,0,1,341360000,General Cargo,89.73,15.76,1,34.615,31.82268
26289335,1,0,"[447, 1795, 22, 19]",418,0,0,1,538003379,Bulk Carrier,175.53,29.4,1,34.59633,31.81762
26861481,2,0,"[713, 1331, 12, 4]",48,0,0,2,0,General Cargo,83.0,11.0,1,34.62355,31.84419
26862223,2,0,"[537, 1380, 28, 12]",336,0,0,1,636092553,Bulk Carrier,177.4,28.2,1,34.6115,31.8424
26864636,2,0,"[107, 1392, 13, 10]",130,0,0,1,370802000,General Cargo,99.89,16.6,1,34.58117,31.84737
26866104,2,0,"[237, 1946, 10, 10]",100,0,0,1,577185000,General Cargo,80.32,13.85,1,34.57674,31.80669
26868815,2,0,"[123, 1890, 42, 38]",1596,0,0,1,477454700,Container Ship,368.0,51.0,1,34.56854,31.8115
268610432,2,0,"[371, 1349, 26, 21]",546,0,0,1,538005937,Bulk Carrier,199.9,32.26,1,34.60064,31.84675
3730169,3,0,"[657, 1764, 12, 12]",144,0,0,1,577404000,General Cargo,92.0,16.0,1,34.60929,31.81505
373010123,3,0,"[660, 1631, 15, 17]",255,0,0,1,215562000,General Cargo,134.2,18.6,1,34.61243,31.82383
37590471,4,0,"[721, 1488, 7, 26]",182,0,0,1,538004630,Bulk Carrier,190.0,32.26,1,34.61897,31.83177
37591244,4,0,"[586, 1515, 7, 13]",91,0,0,1,256967000,General Cargo,88.73,15.2,1,34.60962,31.83177
37592154,4,0,"[568, 1413, 7, 12]",84,0,0,1,374448000,General Cargo,80.0,16.0,1,34.61087,31.83905
37593891,4,0,"[679, 1341, 9, 19]",171,0,0,1,248037000,Oil/Chemical Tanker,134.16,20.5,1,34.62048,31.84198
37594404,4,0,"[543, 1636, 11, 22]",242,0,0,1,636018498,Container Ship,150.0,23.0,1,34.60442,31.82347
37595743,4,0,"[393, 1539, 13, 19]",247,0,0,1,305903000,Bulk Carrier,137.9,25.0,1,34.59564,31.83212
37597423,4,0,"[304, 1399, 11, 16]",176,0,0,1,356477000,General Cargo,110.67,19.2,1,34.59268,31.84353
37598939,4,0,"[447, 1313, 9, 22]",198,0,0,1,565852000,Container Ship,148.53,22.7,1,34.60454,31.84622
3759968,4,0,"[298, 1681, 9, 12]",108,0,0,1,577185000,General Cargo,80.32,13.85,1,34.58616,31.82411
375911551,4,0,"[527, 1772, 8, 13]",104,0,0,1,271002125,General Cargo,87.64,12.0,1,34.5995,31.815
375912448,4,0,"[659, 1751, 6, 14]",84,0,0,1,577404000,General Cargo,92.0,16.0,1,34.60899,31.81491
37880105,5,0,"[465, 1331, 21, 12]",252,0,0,1,565852000,Container Ship,148.53,22.7,1,34.60702,31.84802
37881284,5,0,"[314, 1420, 17, 7]",119,0,0,1,356477000,General Cargo,110.67,19.2,1,34.59512,31.844
37882602,5,0,"[75, 1460, 35, 12]",420,0,0,1,636015034,Bulk Carrier,225.0,32.26,1,34.57832,31.84471
37883663,5,0,"[129, 1623, 32, 8]",256,0,0,1,248668000,Bulk Carrier,200.0,23.44,1,34.57903,31.83191
37884346,5,0,"[407, 1545, 22, 9]",198,0,0,1,305903000,Bulk Carrier,137.9,25.0,1,34.59774,31.83483
37885787,5,0,"[686, 1356, 20, 9]",180,0,0,1,248037000,Oil/Chemical Tanker,134.16,20.5,1,34.62175,31.84418
37886666,5,0,"[732, 1489, 28, 15]",420,0,0,1,538004630,Bulk Carrier,190.0,32.26,1,34.62157,31.83469
37887793,5,0,"[553, 1647, 22, 11]",242,0,0,1,636018498,Container Ship,150.0,23.0,1,34.60563,31.82632
37888890,5,0,"[671, 1771, 14, 5]",70,0,0,1,577404000,General Cargo,92.0,16.0,1,34.61071,31.81627
37889730,5,0,"[534, 1788, 14, 7]",98,0,0,1,271002125,General Cargo,87.64,12.0,1,34.60117,31.81633
378810883,5,0,"[419, 1788, 14, 5]",70,0,0,1,271044604,General Cargo,89.98,12.8,1,34.59377,31.81765
378811795,5,0,"[440, 1929, 27, 13]",351,0,0,1,538005042,Container Ship,182.98,28.0,1,34.593,31.80708
38170161,6,0,"[159, 1294, 14, 10]",140,0,0,1,377569000,General Cargo,92.1,15.2,1,34.58779,31.85412
38171479,6,0,"[85, 1467, 31, 21]",651,0,0,1,636015034,Bulk Carrier,225.0,32.26,1,34.5793,31.84303
38173757,6,0,"[133, 1621, 31, 16]",496,0,0,1,248668000,Bulk Carrier,200.0,23.44,1,34.57903,31.83191
